"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N","P3_009N","P3_010N","P3_011N","P3_012N","P3_013N","P3_014N","P3_015N","P3_016N","P3_017N","P3_018N","P3_019N","P3_020N","P3_021N","P3_022N","P3_023N","P3_024N","P3_025N","P3_026N","P3_027N","P3_028N","P3_029N","P3_030N","P3_031N","P3_032N","P3_033N","P3_034N","P3_035N","P3_036N","P3_037N","P3_038N","P3_039N","P3_040N","P3_041N","P3_042N","P3_043N","P3_044N","P3_045N","P3_046N","P3_047N","P3_048N","P3_049N","P3_050N","P3_051N","P3_052N","P3_053N","P3_054N","P3_055N","P3_056N","P3_057N","P3_058N","P3_059N","P3_060N","P3_061N","P3_062N","P3_063N","P3_064N","P3_065N","P3_066N","P3_067N","P3_068N","P3_069N","P3_070N","P3_071N"
"0500000US21051","Clay County, Kentucky","15983","15638","14723","797","24","22","11","61","345","324","55","185","6","0","68","0","0","0","6","0","0","0","0","4","0","16","4","1","0","1","1","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","4","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"0500000US21053","Clinton County, Kentucky","7098","6892","6770","27","4","10","3","78","206","198","11","122","10","0","46","0","0","7","0","0","0","0","2","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21055","Crittenden County, Kentucky","6958","6756","6642","74","15","2","0","23","202","192","21","104","2","3","49","2","1","0","4","0","0","5","0","1","0","7","3","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21057","Cumberland County, Kentucky","4649","4524","4353","127","5","4","2","33","125","118","20","65","4","0","26","0","0","0","3","0","0","0","0","0","0","5","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21059","Daviess County, Kentucky","78502","75680","69095","3610","188","1605","47","1135","2822","2706","614","1001","125","13","823","31","2","1","46","3","0","19","16","7","5","100","57","3","0","10","5","2","18","0","1","0","1","0","0","0","0","0","0","0","0","3","14","1","0","7","0","5","0","0","0","0","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0"
"0500000US21061","Edmonson County, Kentucky","9503","9252","9070","78","31","25","7","41","251","243","18","168","0","0","54","0","0","0","3","0","0","0","0","0","0","7","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21063","Elliott County, Kentucky","5903","5833","5507","246","14","16","0","50","70","70","1","46","5","0","14","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21065","Estill County, Kentucky","11084","10786","10720","21","21","7","0","17","298","281","21","183","3","1","61","8","0","0","0","1","0","1","2","0","0","14","1","0","0","3","7","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"0500000US21067","Fayette County, Kentucky","254496","240410","182945","35152","858","10389","110","10956","14086","13276","2227","2958","1272","73","5705","265","101","24","350","10","1","204","30","48","8","762","347","49","1","94","31","5","161","35","13","6","2","0","7","9","0","0","1","1","0","0","44","1","2","34","0","0","0","0","5","0","0","0","2","0","0","0","2","2","0","0","0","0","0","2","2"
"0500000US21069","Fleming County, Kentucky","11469","11252","11009","125","28","13","3","74","217","209","28","117","2","1","54","1","0","0","3","0","0","0","0","3","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","4","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21071","Floyd County, Kentucky","28039","27503","27262","84","29","77","0","51","536","517","26","362","14","0","97","4","0","1","8","0","1","3","0","0","1","16","9","3","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21073","Franklin County, Kentucky","40657","38902","33935","3430","120","792","14","611","1755","1685","371","631","82","5","503","21","8","2","41","0","0","9","6","6","0","65","36","3","1","6","0","0","17","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21075","Fulton County, Kentucky","5189","5006","3834","1098","16","18","4","36","183","177","54","65","4","0","46","1","0","0","4","0","0","0","1","2","0","6","1","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21077","Gallatin County, Kentucky","6497","6224","5957","74","11","7","6","169","273","269","16","150","6","5","73","7","0","0","0","0","0","12","0","0","0","4","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21079","Garrard County, Kentucky","13021","12529","12112","243","35","32","8","99","492","469","57","265","2","0","137","3","0","0","0","0","0","5","0","0","0","8","4","0","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","5","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","10","6","4","0","0","0","0","0","0"
"0500000US21081","Grant County, Kentucky","18397","17657","17173","145","49","52","29","209","740","716","45","390","34","2","225","4","4","0","4","2","0","2","4","0","0","21","8","0","0","12","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","3","0","0","0","0"
"0500000US21083","Graves County, Kentucky","27768","26521","24309","1130","105","138","1","838","1247","1228","139","435","41","9","560","10","4","0","20","4","0","0","6","0","0","8","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","2","2"
"0500000US21085","Grayson County, Kentucky","20390","19811","19289","275","73","67","2","105","579","559","36","351","29","0","131","0","5","0","0","0","0","3","0","4","0","16","14","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","4","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21087","Green County, Kentucky","8644","8418","8165","141","20","24","2","66","226","217","35","108","4","0","60","0","2","0","6","0","0","2","0","0","0","8","1","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21089","Greenup County, Kentucky","27993","27228","26720","167","56","189","5","91","765","736","58","476","24","6","166","6","0","0","0","0","0","0","0","0","0","27","6","3","0","3","3","4","1","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0"
"0500000US21091","Hancock County, Kentucky","6932","6761","6633","59","4","30","0","35","171","166","18","70","7","2","59","0","0","0","8","2","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21093","Hardin County, Kentucky","84095","78676","64835","9637","387","1906","303","1608","5419","5142","867","1555","602","58","1630","101","59","17","163","3","8","9","40","12","18","247","82","31","3","39","24","2","31","18","7","0","1","0","7","0","2","0","0","0","0","0","29","9","0","13","2","0","0","0","3","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0"
"0500000US21095","Harlan County, Kentucky","20888","20233","19615","443","49","64","0","62","655","626","68","414","13","4","112","6","0","0","3","1","0","1","0","1","3","24","11","0","1","1","4","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21097","Harrison County, Kentucky","14477","14011","13575","256","34","38","1","107","466","441","71","199","23","2","131","8","0","0","5","0","0","0","2","0","0","17","7","0","0","0","0","0","5","4","0","0","0","0","0","1","0","0","0","0","0","0","7","0","0","6","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"0500000US21099","Hart County, Kentucky","14376","13895","13135","594","39","38","6","83","481","465","54","245","13","4","131","1","3","3","9","1","1","0","0","0","0","16","0","0","0","2","4","0","5","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0500000US21101","Henderson County, Kentucky","34500","33285","29719","2808","71","194","23","470","1215","1179","274","458","57","7","326","10","5","0","34","0","0","0","0","7","1","36","21","4","0","2","0","0","8","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
