DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23,CVDID
2.0,1.0,3.0,5.0,13.0,18.0,1.0,1.0,5.0,3.0,150.0
2.0,4.0,1.0,5.0,27.0,32.0,2.0,2.0,5.0,3.0,152.0
2.0,1.0,3.0,3.0,9.0,31.0,1.0,2.0,4.0,5.0,153.0
2.0,5.0,1.0,4.0,35.0,64.0,2.0,2.0,5.0,4.0,154.0
2.0,7.0,3.0,3.0,40.0,23.0,2.0,2.0,5.0,5.0,156.0
3.0,4.0,1.0,5.0,5.0,58.0,1.0,2.0,5.0,7.0,157.0
2.0,1.0,2.0,2.0,13.0,23.0,1.0,2.0,5.0,3.0,158.0
2.0,1.0,2.0,2.0,9.0,23.0,2.0,2.0,5.0,1.0,160.0
3.0,3.0,2.0,2.0,43.0,68.0,1.0,2.0,5.0,7.0,161.0
2.0,1.0,3.0,3.0,9.0,26.0,1.0,2.0,2.0,6.0,162.0
2.0,2.0,2.0,2.0,35.0,24.0,2.0,2.0,4.0,2.0,163.0
3.0,1.0,3.0,1.0,14.0,66.0,2.0,2.0,5.0,2.0,164.0
2.0,1.0,2.0,3.0,46.0,22.0,2.0,2.0,5.0,2.0,165.0
3.0,4.0,2.0,4.0,10.0,51.0,1.0,2.0,5.0,5.0,166.0
2.0,7.0,4.0,4.0,5.0,38.0,1.0,2.0,5.0,2.0,167.0
2.0,1.0,2.0,1.0,5.0,23.0,1.0,1.0,5.0,3.0,168.0
3.0,1.0,2.0,1.0,9.0,65.0,1.0,2.0,5.0,4.0,170.0
3.0,3.0,2.0,2.0,31.0,68.0,2.0,1.0,5.0,5.0,171.0
2.0,1.0,2.0,3.0,5.0,27.0,2.0,2.0,2.0,3.0,176.0
2.0,1.0,3.0,2.0,5.0,24.0,2.0,2.0,5.0,4.0,177.0
3.0,2.0,2.0,2.0,5.0,68.0,2.0,2.0,5.0,7.0,178.0
2.0,1.0,2.0,2.0,37.0,22.0,2.0,2.0,5.0,2.0,179.0
2.0,1.0,2.0,2.0,5.0,23.0,1.0,2.0,6.0,2.0,181.0
3.0,1.0,2.0,2.0,9.0,59.0,2.0,2.0,5.0,5.0,182.0
2.0,1.0,3.0,2.0,30.0,29.0,1.0,2.0,4.0,5.0,185.0
3.0,2.0,2.0,5.0,35.0,63.0,2.0,2.0,5.0,3.0,186.0
3.0,3.0,3.0,4.0,25.0,68.0,1.0,2.0,5.0,5.0,187.0
2.0,1.0,1.0,5.0,18.0,61.0,2.0,2.0,5.0,2.0,189.0
3.0,3.0,3.0,6.0,43.0,70.0,1.0,2.0,5.0,5.0,190.0
2.0,3.0,2.0,2.0,4.0,52.0,2.0,2.0,5.0,3.0,191.0
2.0,1.0,1.0,5.0,4.0,53.0,2.0,2.0,5.0,3.0,192.0
2.0,3.0,1.0,7.0,32.0,66.0,2.0,1.0,7.0,5.0,193.0
3.0,3.0,2.0,2.0,42.0,36.0,1.0,2.0,5.0,2.0,194.0
2.0,1.0,3.0,5.0,22.0,26.0,1.0,2.0,5.0,2.0,200.0
2.0,1.0,3.0,4.0,13.0,20.0,1.0,2.0,2.0,2.0,201.0
2.0,7.0,2.0,2.0,5.0,21.0,2.0,2.0,2.0,2.0,202.0
2.0,7.0,2.0,3.0,5.0,20.0,2.0,2.0,5.0,2.0,203.0
2.0,1.0,3.0,2.0,5.0,31.0,1.0,2.0,5.0,3.0,205.0
2.0,2.0,2.0,1.0,47.0,39.0,2.0,2.0,5.0,5.0,206.0
2.0,1.0,2.0,2.0,5.0,20.0,2.0,2.0,6.0,3.0,207.0
2.0,1.0,3.0,2.0,5.0,25.0,1.0,2.0,2.0,3.0,208.0
2.0,1.0,4.0,4.0,5.0,28.0,1.0,1.0,6.0,5.0,209.0
3.0,2.0,2.0,2.0,37.0,68.0,1.0,2.0,5.0,3.0,211.0
2.0,1.0,2.0,1.0,13.0,28.0,1.0,2.0,5.0,5.0,214.0
2.0,7.0,2.0,1.0,30.0,20.0,2.0,1.0,6.0,2.0,215.0
3.0,2.0,1.0,7.0,47.0,65.0,2.0,2.0,5.0,3.0,216.0
2.0,2.0,3.0,4.0,5.0,24.0,1.0,2.0,5.0,3.0,217.0
3.0,2.0,1.0,5.0,15.0,74.0,1.0,2.0,5.0,3.0,218.0
2.0,2.0,1.0,2.0,1.0,53.0,1.0,2.0,6.0,3.0,219.0
2.0,7.0,3.0,4.0,32.0,19.0,1.0,1.0,6.0,2.0,220.0
3.0,7.0,2.0,2.0,24.0,56.0,2.0,2.0,4.0,3.0,221.0
2.0,1.0,3.0,3.0,9.0,24.0,1.0,2.0,4.0,3.0,222.0
3.0,2.0,3.0,5.0,1.0,68.0,2.0,2.0,5.0,3.0,223.0
2.0,1.0,3.0,4.0,5.0,27.0,1.0,2.0,4.0,4.0,224.0
2.0,1.0,1.0,5.0,43.0,47.0,2.0,2.0,5.0,3.0,225.0
2.0,1.0,1.0,6.0,43.0,18.0,1.0,1.0,6.0,3.0,226.0
3.0,2.0,3.0,5.0,30.0,69.0,1.0,2.0,5.0,5.0,228.0
2.0,1.0,2.0,1.0,46.0,32.0,1.0,2.0,5.0,2.0,229.0
3.0,4.0,2.0,3.0,5.0,68.0,1.0,2.0,5.0,7.0,230.0
2.0,2.0,3.0,3.0,38.0,66.0,2.0,2.0,5.0,2.0,231.0
2.0,1.0,2.0,5.0,30.0,21.0,1.0,1.0,8.0,2.0,232.0
3.0,6.0,2.0,2.0,35.0,62.0,2.0,2.0,5.0,5.0,233.0
3.0,5.0,2.0,2.0,3.0,63.0,2.0,2.0,5.0,5.0,234.0
2.0,1.0,2.0,3.0,35.0,19.0,1.0,2.0,4.0,4.0,235.0
2.0,1.0,2.0,2.0,5.0,26.0,2.0,1.0,5.0,5.0,236.0
2.0,2.0,3.0,3.0,5.0,30.0,1.0,2.0,6.0,4.0,240.0
1.0,1.0,3.0,3.0,49.0,35.0,1.0,2.0,5.0,5.0,241.0
2.0,2.0,2.0,1.0,5.0,64.0,2.0,2.0,5.0,5.0,242.0
2.0,1.0,2.0,2.0,5.0,21.0,2.0,2.0,4.0,3.0,246.0
2.0,1.0,3.0,4.0,37.0,46.0,2.0,2.0,5.0,4.0,247.0
3.0,4.0,1.0,5.0,13.0,65.0,1.0,2.0,5.0,7.0,248.0
2.0,1.0,2.0,3.0,32.0,20.0,2.0,2.0,5.0,3.0,249.0
2.0,1.0,3.0,3.0,43.0,19.0,2.0,2.0,2.0,3.0,251.0
2.0,4.0,2.0,2.0,20.0,38.0,1.0,2.0,5.0,3.0,253.0
2.0,1.0,2.0,1.0,33.0,27.0,2.0,2.0,5.0,6.0,255.0
2.0,1.0,1.0,2.0,33.0,34.0,2.0,2.0,5.0,7.0,256.0
2.0,1.0,2.0,2.0,35.0,59.0,1.0,2.0,5.0,3.0,258.0
2.0,1.0,2.0,1.0,18.0,25.0,1.0,2.0,5.0,3.0,260.0
2.0,1.0,2.0,3.0,5.0,19.0,2.0,2.0,2.0,3.0,261.0
2.0,1.0,2.0,3.0,43.0,24.0,2.0,2.0,4.0,3.0,262.0
2.0,1.0,2.0,2.0,5.0,27.0,2.0,1.0,7.0,3.0,263.0
2.0,1.0,1.0,6.0,42.0,19.0,1.0,2.0,5.0,3.0,265.0
1.0,2.0,3.0,4.0,17.0,41.0,1.0,2.0,5.0,4.0,266.0
1.0,1.0,2.0,2.0,13.0,25.0,2.0,2.0,5.0,5.0,267.0
2.0,1.0,2.0,2.0,5.0,23.0,2.0,1.0,5.0,5.0,269.0
1.0,2.0,4.0,1.0,33.0,28.0,1.0,2.0,5.0,5.0,272.0
2.0,1.0,3.0,4.0,25.0,24.0,2.0,3.0,6.0,4.0,273.0
2.0,1.0,3.0,6.0,5.0,20.0,1.0,2.0,5.0,3.0,277.0
1.0,1.0,2.0,3.0,47.0,59.0,2.0,2.0,5.0,7.0,279.0
2.0,1.0,3.0,2.0,32.0,20.0,2.0,2.0,4.0,4.0,280.0
2.0,1.0,2.0,5.0,5.0,34.0,1.0,2.0,2.0,7.0,282.0
2.0,1.0,2.0,4.0,5.0,26.0,1.0,3.0,2.0,3.0,284.0
1.0,1.0,2.0,1.0,49.0,20.0,2.0,2.0,6.0,2.0,286.0
1.0,6.0,2.0,1.0,48.0,48.0,1.0,2.0,5.0,7.0,290.0
2.0,1.0,2.0,4.0,38.0,27.0,1.0,2.0,5.0,2.0,292.0
2.0,1.0,2.0,3.0,9.0,25.0,1.0,2.0,4.0,4.0,293.0
2.0,1.0,3.0,5.0,3.0,59.0,1.0,2.0,5.0,4.0,294.0
1.0,1.0,4.0,1.0,47.0,55.0,2.0,2.0,5.0,8.0,296.0
2.0,1.0,3.0,4.0,32.0,33.0,1.0,2.0,4.0,4.0,297.0
1.0,1.0,2.0,2.0,33.0,24.0,1.0,2.0,5.0,5.0,298.0
2.0,1.0,2.0,2.0,43.0,24.0,2.0,2.0,2.0,5.0,299.0
2.0,1.0,2.0,1.0,14.0,21.0,1.0,2.0,5.0,2.0,301.0
1.0,1.0,2.0,1.0,37.0,28.0,1.0,2.0,5.0,7.0,303.0
2.0,1.0,2.0,2.0,35.0,58.0,1.0,2.0,5.0,5.0,305.0
2.0,1.0,1.0,6.0,32.0,32.0,2.0,3.0,5.0,3.0,308.0
1.0,1.0,2.0,2.0,32.0,23.0,1.0,2.0,2.0,5.0,309.0
1.0,2.0,2.0,3.0,6.0,26.0,2.0,2.0,5.0,4.0,310.0
