CVDID,DemW10_R1,DemW18_R1,DemM6,DemM7,DemW3,prlfc_dem_age,DemC5,DemC8,DemC9,DemC23
567.0,1.0,5.0,2.0,2.0,35.0,33.0,2.0,2.0,5.0,9.0
568.0,1.0,2.0,2.0,1.0,27.0,18.0,2.0,2.0,5.0,2.0
577.0,1.0,5.0,1.0,5.0,22.0,31.0,2.0,2.0,5.0,5.0
582.0,2.0,1.0,2.0,2.0,48.0,29.0,2.0,2.0,5.0,5.0
583.0,2.0,1.0,4.0,5.0,13.0,56.0,1.0,2.0,5.0,3.0
585.0,1.0,1.0,3.0,4.0,5.0,23.0,1.0,2.0,6.0,5.0
588.0,1.0,1.0,1.0,6.0,3.0,27.0,1.0,2.0,5.0,3.0
590.0,2.0,1.0,3.0,3.0,22.0,26.0,1.0,2.0,5.0,3.0
596.0,1.0,1.0,3.0,5.0,13.0,34.0,1.0,1.0,6.0,4.0
609.0,2.0,1.0,2.0,1.0,47.0,57.0,2.0,2.0,5.0,8.0
617.0,1.0,3.0,4.0,4.0,35.0,48.0,2.0,2.0,5.0,9.0
619.0,1.0,1.0,2.0,2.0,33.0,53.0,1.0,2.0,5.0,2.0
627.0,1.0,3.0,2.0,5.0,47.0,23.0,1.0,2.0,2.0,5.0
629.0,1.0,3.0,2.0,1.0,43.0,30.0,2.0,2.0,5.0,7.0
630.0,1.0,1.0,4.0,6.0,3.0,44.0,2.0,2.0,5.0,3.0
636.0,2.0,1.0,3.0,3.0,38.0,27.0,1.0,2.0,5.0,2.0
640.0,1.0,2.0,2.0,3.0,49.0,21.0,1.0,2.0,2.0,5.0
642.0,1.0,2.0,3.0,1.0,36.0,35.0,1.0,3.0,6.0,4.0
651.0,1.0,3.0,2.0,1.0,32.0,20.0,1.0,1.0,5.0,5.0
672.0,1.0,2.0,2.0,2.0,14.0,32.0,1.0,2.0,5.0,3.0
680.0,1.0,2.0,2.0,2.0,48.0,43.0,2.0,2.0,5.0,4.0
681.0,1.0,1.0,1.0,6.0,17.0,35.0,1.0,2.0,5.0,3.0
689.0,2.0,7.0,1.0,6.0,5.0,24.0,1.0,2.0,2.0,3.0
691.0,1.0,1.0,2.0,2.0,9.0,36.0,2.0,2.0,5.0,7.0
696.0,1.0,5.0,2.0,3.0,32.0,27.0,1.0,2.0,4.0,5.0
707.0,1.0,3.0,2.0,1.0,17.0,30.0,2.0,2.0,5.0,6.0
712.0,1.0,3.0,3.0,3.0,43.0,55.0,2.0,2.0,5.0,4.0
717.0,1.0,2.0,2.0,1.0,3.0,29.0,2.0,2.0,5.0,7.0
718.0,1.0,3.0,2.0,1.0,5.0,23.0,2.0,1.0,6.0,5.0
719.0,1.0,4.0,2.0,2.0,43.0,29.0,1.0,2.0,6.0,3.0
721.0,1.0,3.0,3.0,4.0,5.0,32.0,1.0,2.0,5.0,5.0
726.0,1.0,5.0,1.0,5.0,9.0,36.0,1.0,2.0,5.0,7.0
734.0,1.0,2.0,2.0,2.0,5.0,21.0,1.0,2.0,6.0,5.0
743.0,1.0,3.0,3.0,2.0,16.0,35.0,1.0,2.0,5.0,3.0
744.0,2.0,1.0,2.0,1.0,5.0,28.0,2.0,1.0,1.0,4.0
747.0,1.0,2.0,3.0,4.0,15.0,32.0,1.0,2.0,5.0,4.0
753.0,1.0,2.0,2.0,3.0,9.0,27.0,1.0,2.0,5.0,3.0
757.0,1.0,2.0,2.0,1.0,49.0,18.0,2.0,2.0,4.0,2.0
760.0,1.0,1.0,2.0,3.0,38.0,44.0,2.0,2.0,5.0,5.0
